PRODUCTID,PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE
0009-0056_23d6d834-b9ea-48b7-83af-64794ab6a7dc,0009-0056,HUMAN PRESCRIPTION DRUG,Medrol,,methylprednisolone,TABLET,ORAL,19571024,,NDA,NDA011153,Pharmacia and Upjohn Company LLC,METHYLPREDNISOLONE,4,mg/1,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]",
0009-0057_b2692032-029d-4725-a3d2-6ed4b06aaefa,0009-0057,HUMAN PRESCRIPTION DRUG,Xanax,XR,alprazolam,"TABLET, EXTENDED RELEASE",ORAL,20030117,,NDA,NDA021434,Pharmacia and Upjohn Company LLC,ALPRAZOLAM,0.5,mg/1,"Benzodiazepine [EPC],Benzodiazepines [Chemical/Ingredient]",CIV
0009-0059_b2692032-029d-4725-a3d2-6ed4b06aaefa,0009-0059,HUMAN PRESCRIPTION DRUG,Xanax,XR,alprazolam,"TABLET, EXTENDED RELEASE",ORAL,20030117,,NDA,NDA021434,Pharmacia and Upjohn Company LLC,ALPRAZOLAM,1,mg/1,"Benzodiazepine [EPC],Benzodiazepines [Chemical/Ingredient]",CIV
0009-0064_8e280ce3-d109-4622-a824-d8bbaa045147,0009-0064,HUMAN PRESCRIPTION DRUG,Provera,,medroxyprogesterone acetate,TABLET,ORAL,19590603,,NDA,NDA011839,Pharmacia and Upjohn Company LLC,MEDROXYPROGESTERONE ACETATE,2.5,mg/1,"Progesterone Congeners [Chemical/Ingredient],Progestin [EPC]",
0009-0066_b2692032-029d-4725-a3d2-6ed4b06aaefa,0009-0066,HUMAN PRESCRIPTION DRUG,Xanax,XR,alprazolam,"TABLET, EXTENDED RELEASE",ORAL,20030117,,NDA,NDA021434,Pharmacia and Upjohn Company LLC,ALPRAZOLAM,2,mg/1,"Benzodiazepine [EPC],Benzodiazepines [Chemical/Ingredient]",CIV
0009-0068_b2692032-029d-4725-a3d2-6ed4b06aaefa,0009-0068,HUMAN PRESCRIPTION DRUG,Xanax,XR,alprazolam,"TABLET, EXTENDED RELEASE",ORAL,20030117,,NDA,NDA021434,Pharmacia and Upjohn Company LLC,ALPRAZOLAM,3,mg/1,"Benzodiazepine [EPC],Benzodiazepines [Chemical/Ingredient]",CIV
0009-0073_23d6d834-b9ea-48b7-83af-64794ab6a7dc,0009-0073,HUMAN PRESCRIPTION DRUG,Medrol,,methylprednisolone,TABLET,ORAL,19571024,,NDA,NDA011153,Pharmacia and Upjohn Company LLC,METHYLPREDNISOLONE,16,mg/1,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]",
0009-0085_16444270-09e9-4039-bfe8-d2bc9062e215,0009-0085,HUMAN PRESCRIPTION DRUG,Depo-Testosterone,,testosterone cypionate,"INJECTION, SOLUTION",INTRAMUSCULAR,20140701,,ANDA,ANDA085635,Pharmacia and Upjohn Company LLC,TESTOSTERONE CYPIONATE,100,mg/mL,"Androgen [EPC],Androgen Receptor Agonists [MoA],Androstanes [Chemical/Ingredient]",CIII
0009-0086_16444270-09e9-4039-bfe8-d2bc9062e215,0009-0086,HUMAN PRESCRIPTION DRUG,Depo-Testosterone,,testosterone cypionate,"INJECTION, SOLUTION",INTRAMUSCULAR,20140701,,ANDA,ANDA085635,Pharmacia and Upjohn Company LLC,TESTOSTERONE CYPIONATE,200,mg/mL,"Androgen [EPC],Androgen Receptor Agonists [MoA],Androstanes [Chemical/Ingredient]",CIII
0009-0090_afc4f1e9-2318-41e3-aa36-91e5da3d62d2,0009-0090,HUMAN PRESCRIPTION DRUG,Xanax,,alprazolam,TABLET,ORAL,19811016,,NDA,NDA018276,Pharmacia and Upjohn Company LLC,ALPRAZOLAM,1,mg/1,"Benzodiazepine [EPC],Benzodiazepines [Chemical/Ingredient]",CIV
0009-0094_afc4f1e9-2318-41e3-aa36-91e5da3d62d2,0009-0094,HUMAN PRESCRIPTION DRUG,Xanax,,alprazolam,TABLET,ORAL,19811016,,NDA,NDA018276,Pharmacia and Upjohn Company LLC,ALPRAZOLAM,2,mg/1,"Benzodiazepine [EPC],Benzodiazepines [Chemical/Ingredient]",CIV
0009-0176_23d6d834-b9ea-48b7-83af-64794ab6a7dc,0009-0176,HUMAN PRESCRIPTION DRUG,Medrol,,methylprednisolone,TABLET,ORAL,19571024,,NDA,NDA011153,Pharmacia and Upjohn Company LLC,METHYLPREDNISOLONE,32,mg/1,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]",
0009-0225_8102ccc4-0f6f-4fcf-a5e6-ada71e158615,0009-0225,HUMAN PRESCRIPTION DRUG,Cleocin Hydrochloride,,clindamycin hydrochloride,CAPSULE,ORAL,19700522,,NDA,NDA050162,Pharmacia and Upjohn Company LLC,CLINDAMYCIN HYDROCHLORIDE,150,mg/1,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-0233_a0593b12-3a06-4043-b533-223e9c001392,0009-0233,HUMAN PRESCRIPTION DRUG,Bacitracin,,Bacitracin,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR,19480729,,ANDA,ANDA060733,Pharmacia and Upjohn Company LLC,BACITRACIN A,5000,[USP'U]/mL,,
0009-0233_fdafa7dd-f9e7-47d4-b2d9-054d9fcc861e,0009-0233,HUMAN PRESCRIPTION DRUG,Bacitracin,,Bacitracin,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR,19480729,,ANDA,ANDA060733,Pharmacia and Upjohn Company LLC,BACITRACIN,5000,[USP'U]/mL,Decreased Cell Wall Synthesis &amp; Repair [PE],
0009-0234_5aed9542-6254-460a-a461-2b324a775cbd,0009-0234,HUMAN PRESCRIPTION DRUG,Bacitracin,,Bacitracin,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR,19480729,,ANDA,ANDA060733,Pharmacia and Upjohn Company LLC,BACITRACIN,5000,[USP'U]/mL,Decreased Cell Wall Synthesis &amp; Repair [PE],
0009-0241_d82a009a-6e8d-4469-99c0-9cb2b84f8421,0009-0241,HUMAN PRESCRIPTION DRUG,Bacitracin,,Bacitracin,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR,19480729,,ANDA,ANDA060733,Pharmacia and Upjohn Company LLC,BACITRACIN A,5000,[USP'U]/mL,,
0009-0260_a7effc61-c146-43e2-89ce-297c211a7975,0009-0260,HUMAN PRESCRIPTION DRUG,Colestid,,Colestipol Hydrochloride,"GRANULE, FOR SUSPENSION",ORAL,19770404,,NDA,NDA017563,Pharmacia and Upjohn Company LLC,COLESTIPOL HYDROCHLORIDE,5,g/5g,"Bile Acid Sequestrant [EPC],Bile-acid Binding Activity [MoA]",
0009-0271_2ac78160-8006-40b3-9635-59c6d008a4ec,0009-0271,HUMAN PRESCRIPTION DRUG,Depo-Estradiol,,estradiol cypionate,INJECTION,INTRAMUSCULAR,19790815,,ANDA,ANDA085470,Pharmacia and Upjohn Company LLC,ESTRADIOL CYPIONATE,5,mg/mL,"Estradiol Congeners [Chemical/Ingredient],Estrogen [EPC],Estrogen Receptor Agonists [MoA]",
0009-0274_195b9016-034a-48e1-8724-f4cf99eeb357,0009-0274,HUMAN PRESCRIPTION DRUG,Depo-Medrol,,methylprednisolone acetate,"INJECTION, SUSPENSION",INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE,19590528,,NDA,NDA011757,Pharmacia and Upjohn Company LLC,METHYLPREDNISOLONE ACETATE,20,mg/mL,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]",
0009-0280_195b9016-034a-48e1-8724-f4cf99eeb357,0009-0280,HUMAN PRESCRIPTION DRUG,Depo-Medrol,,methylprednisolone acetate,"INJECTION, SUSPENSION",INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE,19590528,,NDA,NDA011757,Pharmacia and Upjohn Company LLC,METHYLPREDNISOLONE ACETATE,40,mg/mL,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]",
0009-0280_d5c7d140-4ca4-4f25-ab21-1cb2ef2ab226,0009-0280,HUMAN PRESCRIPTION DRUG,Depo-Medrol,,methylprednisolone acetate,"INJECTION, SUSPENSION",INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE,19590528,,NDA,NDA011757,Pharmacia and Upjohn Company,METHYLPREDNISOLONE ACETATE,40,mg/mL,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]",
0009-0286_8e280ce3-d109-4622-a824-d8bbaa045147,0009-0286,HUMAN PRESCRIPTION DRUG,Provera,,medroxyprogesterone acetate,TABLET,ORAL,19590603,,NDA,NDA011839,Pharmacia and Upjohn Company LLC,MEDROXYPROGESTERONE ACETATE,5,mg/1,"Progesterone Congeners [Chemical/Ingredient],Progestin [EPC]",
0009-0302_bcee33c3-6db8-4ec0-b7b7-85c516cde450,0009-0302,HUMAN PRESCRIPTION DRUG,Cleocin Phosphate,,clindamycin phosphate,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20140410,,NDA,NDA050441,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PHOSPHATE,150,mg/mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-0306_195b9016-034a-48e1-8724-f4cf99eeb357,0009-0306,HUMAN PRESCRIPTION DRUG,Depo-Medrol,,methylprednisolone acetate,"INJECTION, SUSPENSION",INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE,19590528,,NDA,NDA011757,Pharmacia and Upjohn Company LLC,METHYLPREDNISOLONE ACETATE,80,mg/mL,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]",
0009-0306_d5c7d140-4ca4-4f25-ab21-1cb2ef2ab226,0009-0306,HUMAN PRESCRIPTION DRUG,Depo-Medrol,,methylprednisolone acetate,"INJECTION, SUSPENSION",INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE,19590528,,NDA,NDA011757,Pharmacia and Upjohn Company,METHYLPREDNISOLONE ACETATE,80,mg/mL,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]",
0009-0331_8102ccc4-0f6f-4fcf-a5e6-ada71e158615,0009-0331,HUMAN PRESCRIPTION DRUG,Cleocin Hydrochloride,,clindamycin hydrochloride,CAPSULE,ORAL,19700522,,NDA,NDA050162,Pharmacia and Upjohn Company LLC,CLINDAMYCIN HYDROCHLORIDE,75,mg/1,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-0341_0a039701-29e2-48ae-a8c1-875e30eb0c57,0009-0341,HUMAN PRESCRIPTION DRUG,Glynase,,glyburide,TABLET,ORAL,19920304,,NDA,NDA020051,Pharmacia and Upjohn Company LLC,GLYBURIDE,1.5,mg/1,"Sulfonylurea [EPC],Sulfonylurea Compounds [Chemical/Ingredient]",
0009-0347_b2f78f67-9064-4776-8787-c44145f8f18f,0009-0347,HUMAN PRESCRIPTION DRUG,Depo-Testosterone,,testosterone cypionate,"INJECTION, SOLUTION",INTRAMUSCULAR,19790725,,ANDA,ANDA085635,Pharmacia and Upjohn Company LLC,TESTOSTERONE CYPIONATE,100,mg/mL,"Androgen [EPC],Androgen Receptor Agonists [MoA],Androstanes [Chemical/Ingredient]",CIII
0009-0352_0a039701-29e2-48ae-a8c1-875e30eb0c57,0009-0352,HUMAN PRESCRIPTION DRUG,Glynase,,glyburide,TABLET,ORAL,19920304,,NDA,NDA020051,Pharmacia and Upjohn Company LLC,GLYBURIDE,3,mg/1,"Sulfonylurea [EPC],Sulfonylurea Compounds [Chemical/Ingredient]",
0009-0370_a7effc61-c146-43e2-89ce-297c211a7975,0009-0370,HUMAN PRESCRIPTION DRUG,Flavored Colestid,,Colestipol Hydrochloride,"GRANULE, FOR SUSPENSION",ORAL,19770404,,NDA,NDA017563,Pharmacia and Upjohn Company LLC,COLESTIPOL HYDROCHLORIDE,5,g/7.5g,"Bile Acid Sequestrant [EPC],Bile-acid Binding Activity [MoA]",
0009-0395_8102ccc4-0f6f-4fcf-a5e6-ada71e158615,0009-0395,HUMAN PRESCRIPTION DRUG,Cleocin Hydrochloride,,clindamycin hydrochloride,CAPSULE,ORAL,19700522,,NDA,NDA050162,Pharmacia and Upjohn Company LLC,CLINDAMYCIN HYDROCHLORIDE,300,mg/1,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-0417_b2f78f67-9064-4776-8787-c44145f8f18f,0009-0417,HUMAN PRESCRIPTION DRUG,Depo-Testosterone,,testosterone cypionate,"INJECTION, SOLUTION",INTRAMUSCULAR,19790725,,ANDA,ANDA085635,Pharmacia and Upjohn Company LLC,TESTOSTERONE CYPIONATE,200,mg/mL,"Androgen [EPC],Androgen Receptor Agonists [MoA],Androstanes [Chemical/Ingredient]",CIII
0009-0436_6acdd918-6c3b-4eb8-93f4-dafb72e47c76,0009-0436,HUMAN PRESCRIPTION DRUG,R-Gene,,Arginine Hydrochloride,"INJECTION, SOLUTION",INTRAVENOUS,19760615,,NDA,NDA016931,Pharmacia and Upjohn Company LLC,ARGININE HYDROCHLORIDE,10,g/100mL,,
0009-0450_c01764bb-6f06-4935-bb33-9cdad812d4c5,0009-0450,HUMAN PRESCRIPTION DRUG,Colestid,,Colestipol Hydrochloride,TABLET,ORAL,19940719,,NDA,NDA020222,Pharmacia and Upjohn Company LLC,COLESTIPOL HYDROCHLORIDE,1,g/1,"Bile Acid Sequestrant [EPC],Bile-acid Binding Activity [MoA]",
0009-0520_1eb10948-20f6-4615-aa91-bd9a26b4ffd9,0009-0520,HUMAN PRESCRIPTION DRUG,Depo-Testosterone,,testosterone cypionate,"INJECTION, SOLUTION",INTRAMUSCULAR,20140331,,ANDA,ANDA085635,Pharmacia and Upjohn Company LLC,TESTOSTERONE CYPIONATE,200,mg/mL,"Androgen [EPC],Androgen Receptor Agonists [MoA],Androstanes [Chemical/Ingredient]",CIII
0009-0555_55529020-c122-4964-92f9-5dfdb074d3ec,0009-0555,HUMAN PRESCRIPTION DRUG,Lincocin,,lincomycin hydrochloride,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS; SUBCONJUNCTIVAL,19641229,,NDA,NDA050317,Pharmacia and Upjohn Company LLC,LINCOMYCIN HYDROCHLORIDE,300,mg/mL,,
0009-0602_bcee33c3-6db8-4ec0-b7b7-85c516cde450,0009-0602,HUMAN PRESCRIPTION DRUG,Cleocin Phosphate,,clindamycin phosphate,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20140410,,NDA,NDA050441,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PHOSPHATE,150,mg/mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-0626_4afa2a80-deb9-4452-bae9-10d76fe83e94,0009-0626,HUMAN PRESCRIPTION DRUG,Depo-Provera,,medroxyprogesterone acetate,"INJECTION, SUSPENSION",INTRAMUSCULAR,19601101,,NDA,NDA012541,Pharmacia and Upjohn Company LLC,MEDROXYPROGESTERONE ACETATE,400,mg/mL,"Progesterone Congeners [Chemical/Ingredient],Progestin [EPC]",
0009-0698_9f108946-8e00-4570-8335-2b6de7251a55,0009-0698,HUMAN PRESCRIPTION DRUG,SOLU-MEDROL,,methylprednisolone sodium succinate,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,19590402,,NDA,NDA011856,Pharmacia and Upjohn Company LLC,METHYLPREDNISOLONE SODIUM SUCCINATE,1,g/mL,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]",
0009-0728_49af8d95-871b-4576-8b6e-fcec897e882f,0009-0728,HUMAN PRESCRIPTION DRUG,Cleocin Phosphate,,clindamycin phosphate,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,19721002,,NDA,NDA050441,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PHOSPHATE,150,mg/mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-0746_507f16c7-aa8f-42ec-aeca-ffe853f4cc06,0009-0746,HUMAN PRESCRIPTION DRUG,Depo-Provera,,medroxyprogesterone acetate,"INJECTION, SUSPENSION",INTRAMUSCULAR,19921029,,NDA,NDA020246,Pharmacia and Upjohn Company LLC,MEDROXYPROGESTERONE ACETATE,150,mg/mL,"Progesterone Congeners [Chemical/Ingredient],Progestin [EPC]",
0009-0758_9f108946-8e00-4570-8335-2b6de7251a55,0009-0758,HUMAN PRESCRIPTION DRUG,SOLU-MEDROL,,methylprednisolone sodium succinate,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,19590402,,NDA,NDA011856,Pharmacia and Upjohn Company LLC,METHYLPREDNISOLONE SODIUM SUCCINATE,500,mg/mL,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]",
0009-0760_5dce6eba-062f-4da3-a0bb-e0ff1de272b3,0009-0760,HUMAN PRESCRIPTION DRUG,Cleocin Pediatric,,clindamycin palmitate hydrochloride,"GRANULE, FOR SOLUTION",ORAL,19860417,,ANDA,ANDA062644,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PALMITATE HYDROCHLORIDE,75,mg/5mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-0775_49af8d95-871b-4576-8b6e-fcec897e882f,0009-0775,HUMAN PRESCRIPTION DRUG,Cleocin Phosphate,,clindamycin phosphate,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,19721002,,NDA,NDA050441,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PHOSPHATE,150,mg/mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-0796_9f108946-8e00-4570-8335-2b6de7251a55,0009-0796,HUMAN PRESCRIPTION DRUG,Solu-Medrol,,methylprednisolone sodium succinate,KIT,,19590402,,NDA,NDA011856,Pharmacia and Upjohn Company LLC,,,,,
0009-0825_4644d33c-93fd-4d77-b8d2-bb586f616c98,0009-0825,HUMAN PRESCRIPTION DRUG,Solu-Cortef,,hydrocortisone sodium succinate,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,19550427,,NDA,NDA009866,Pharmacia and Upjohn Company LLC,HYDROCORTISONE SODIUM SUCCINATE,100,mg/2mL,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]",
0009-0827_a75c4d74-e942-4558-9c88-5e828c0f1f68,0009-0827,HUMAN PRESCRIPTION DRUG,Prostin,E2,dinoprostone,SUPPOSITORY,VAGINAL,19780118,,NDA,NDA017810,Pharmacia and Upjohn Company LLC,DINOPROSTONE,20,mg/1,"Prostaglandin Analog [EPC],Prostaglandins [Chemical/Ingredient]",
0009-0856_8ed04ab4-e2f7-492f-bbef-fe6012c0b68c,0009-0856,HUMAN PRESCRIPTION DRUG,Hemabate,,carboprost tromethamine,"INJECTION, SOLUTION",INTRAMUSCULAR,19790109,,NDA,NDA017989,Pharmacia and Upjohn Company LLC,CARBOPROST TROMETHAMINE,250,ug/mL,"Prostaglandin Analog [EPC],Prostaglandins [Chemical/Ingredient]",
0009-0870_49af8d95-871b-4576-8b6e-fcec897e882f,0009-0870,HUMAN PRESCRIPTION DRUG,Cleocin Phosphate,,clindamycin phosphate,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,19721002,,NDA,NDA050441,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PHOSPHATE,150,mg/mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-0901_bcee33c3-6db8-4ec0-b7b7-85c516cde450,0009-0901,HUMAN PRESCRIPTION DRUG,Cleocin Phosphate,,clindamycin phosphate,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20140410,,NDA,NDA050441,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PHOSPHATE,150,mg/mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-0902_49af8d95-871b-4576-8b6e-fcec897e882f,0009-0902,HUMAN PRESCRIPTION DRUG,Cleocin Phosphate,,clindamycin phosphate,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,19721002,,NDA,NDA050441,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PHOSPHATE,150,mg/mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-1111_fdc79e21-b6ad-4d75-aa9f-cda9c3142a73,0009-1111,HUMAN PRESCRIPTION DRUG,Camptosar,,irinotecan hydrochloride,"INJECTION, SOLUTION",INTRAVENOUS,19960614,,NDA,NDA020571,Pharmacia and Upjohn Company LLC,IRINOTECAN HYDROCHLORIDE,20,mg/mL,"Topoisomerase Inhibitor [EPC],Topoisomerase Inhibitors [MoA]",
0009-3073_0f1820e6-28cb-4dd7-89ee-00583ebab35d,0009-3073,HUMAN PRESCRIPTION DRUG,Depo-Medrol,,methylprednisolone acetate,"INJECTION, SUSPENSION",INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; SOFT TISSUE,19590528,,NDA,NDA011757,Pharmacia and Upjohn Company LLC,METHYLPREDNISOLONE ACETATE,40,mg/mL,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]",
0009-3073_48526b2b-3cef-4d67-8c38-d3e9fca1cf3d,0009-3073,HUMAN PRESCRIPTION DRUG,Depo-Medrol,,methylprednisolone acetate,"INJECTION, SUSPENSION",INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE,19590528,,NDA,NDA011757,Pharmacia and Upjohn Company LLC,METHYLPREDNISOLONE ACETATE,40,mg/mL,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]",
0009-3116_72c22002-c99b-4f31-8dfc-0932c0df9168,0009-3116,HUMAN PRESCRIPTION DRUG,Cleocin T,,clindamycin phosphate,SOLUTION,TOPICAL,19800620,,NDA,NDA050537,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PHOSPHATE,10,mg/mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-3124_49af8d95-871b-4576-8b6e-fcec897e882f,0009-3124,HUMAN PRESCRIPTION DRUG,Cleocin Phosphate,,clindamycin phosphate,"INJECTION, SOLUTION",INTRAVENOUS,19871016,,ANDA,ANDA062803,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PHOSPHATE,150,mg/mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-3169_fc8f9f72-2bfe-4926-8dd7-690e89dd9f0b,0009-3169,HUMAN PRESCRIPTION DRUG,PROSTIN,VR PEDIATRIC,alprostadil,"INJECTION, SOLUTION",INTRAVASCULAR; INTRAVENOUS,19811016,,NDA,NDA018484,Pharmacia and Upjohn Company LLC,ALPROSTADIL,500,ug/mL,"Genitourinary Arterial Vasodilation [PE],Prostaglandin Analog [EPC],Prostaglandin E1 Agonist [EPC],Prostaglandin Receptor Agonists [MoA],Prostaglandins [Chemical/Ingredient],Venous Vasodilation [PE]",
0009-3329_72c22002-c99b-4f31-8dfc-0932c0df9168,0009-3329,HUMAN PRESCRIPTION DRUG,Cleocin T,,clindamycin phosphate,LOTION,TOPICAL,19890531,,NDA,NDA050600,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PHOSPHATE,10,mg/mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-3331_72c22002-c99b-4f31-8dfc-0932c0df9168,0009-3331,HUMAN PRESCRIPTION DRUG,Cleocin T,,clindamycin phosphate,GEL,TOPICAL,19870107,,NDA,NDA050615,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PHOSPHATE,10,mg/g,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-3359_a8b3b500-a272-44bb-8eed-8f825a076573,0009-3359,HUMAN PRESCRIPTION DRUG,Prepidil,,dinoprostone,GEL,VAGINAL,19921209,,NDA,NDA019617,Pharmacia and Upjohn Company LLC,DINOPROSTONE,0.5,mg/3g,"Prostaglandin Analog [EPC],Prostaglandins [Chemical/Ingredient]",
0009-3375_49af8d95-871b-4576-8b6e-fcec897e882f,0009-3375,HUMAN PRESCRIPTION DRUG,Cleocin Phosphate,,clindamycin phosphate,"INJECTION, SOLUTION",INTRAVENOUS,19900830,,NDA,NDA050639,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PHOSPHATE,12,mg/mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-3381_49af8d95-871b-4576-8b6e-fcec897e882f,0009-3381,HUMAN PRESCRIPTION DRUG,Cleocin Phosphate,,clindamycin phosphate,"INJECTION, SOLUTION",INTRAVENOUS,19900830,,NDA,NDA050639,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PHOSPHATE,6,mg/mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-3382_49af8d95-871b-4576-8b6e-fcec897e882f,0009-3382,HUMAN PRESCRIPTION DRUG,Cleocin Phosphate,,clindamycin phosphate,"INJECTION, SOLUTION",INTRAVENOUS,19900830,,NDA,NDA050639,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PHOSPHATE,18,mg/mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-3447_49af8d95-871b-4576-8b6e-fcec897e882f,0009-3447,HUMAN PRESCRIPTION DRUG,Cleocin Phosphate,,clindamycin phosphate,"INJECTION, SOLUTION",INTRAVENOUS,19871016,,ANDA,ANDA062803,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PHOSPHATE,150,mg/mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-3448_6939ae7f-522a-45ea-8f22-efd094973b77,0009-3448,HUMAN PRESCRIPTION DRUG,Cleocin,,clindamycin phosphate,CREAM,VAGINAL,19920811,,NDA,NDA050680,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PHOSPHATE,20,mg/g,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]",
0009-3449_0a039701-29e2-48ae-a8c1-875e30eb0c57,0009-3449,HUMAN PRESCRIPTION DRUG,Glynase,,glyburide,TABLET,ORAL,19920304,,NDA,NDA020051,Pharmacia and Upjohn Company LLC,GLYBURIDE,6,mg/1,"Sulfonylurea [EPC],Sulfonylurea Compounds [Chemical/Ingredient]",
